City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,bhag,29.0415,67.8239,63.75,17,100,6.46,PK,overcast clouds
305,chaman,30.9236,66.4512,40.5,95,100,1.63,PK,moderate rain
306,kuching,1.55,110.3333,80.13,90,40,10.36,MY,thunderstorm with rain
307,vila velha,-20.3297,-40.2925,87.75,69,40,9.22,BR,scattered clouds
308,simao,22.7886,100.9748,47.48,95,37,3.4,CN,scattered clouds
309,sale,34.0389,-6.8166,57.88,54,40,8.05,MA,scattered clouds
310,craig,40.5153,-107.5464,26.55,74,100,10.36,US,overcast clouds
311,nizhnevartovsk,60.9344,76.5531,19.42,100,40,6.71,RU,scattered clouds
312,sechura,-5.5569,-80.8222,77.92,61,98,5.3,PE,overcast clouds
313,adrar,20.5022,-10.0711,69.22,26,10,10.8,MR,clear sky
314,swellendam,-34.0226,20.4417,61.7,87,100,9.35,ZA,light rain
315,kichmengskiy gorodok,59.9816,45.7854,11.8,94,58,7.29,RU,broken clouds
316,lata,40.1629,-8.3327,56.07,40,0,9.22,PT,clear sky
317,faanui,-16.4833,-151.75,80.55,75,14,14.61,PF,few clouds
318,mahebourg,-20.4081,57.7,80.26,94,75,3.44,MU,light rain
319,houma,29.5958,-90.7195,57.99,88,78,9.19,US,broken clouds
320,broome,42.2506,-75.833,41.02,64,40,11.01,US,scattered clouds
321,peniche,39.3558,-9.3811,56.1,59,0,13.8,PT,clear sky
322,madhoganj,27.1167,80.15,57.61,41,0,6.17,IN,clear sky
323,novopokrovka,49.8425,36.5477,29.37,68,7,9.24,UA,clear sky
324,gien,47.6933,2.6309,39.54,68,95,12.68,FR,overcast clouds
325,bonavista,48.6499,-53.1147,25.7,61,47,5.99,CA,scattered clouds
326,kaeo,-35.1,173.7833,69.33,96,98,5.82,NZ,overcast clouds
327,eqbaliyeh,35.3022,51.5358,46.22,38,77,1.34,IR,broken clouds
328,bereda,43.2686,-7.5406,43.14,100,87,7.81,ES,overcast clouds
329,linjiang,41.8069,126.9078,-4.34,100,76,1.34,CN,broken clouds
330,puteyets,65.1716,57.091,12.58,95,100,7.54,RU,light snow
331,sinegorye,62.0788,150.477,-19.5,99,100,0.87,RU,overcast clouds
332,miyako,39.6367,141.9525,24.21,53,58,11.27,JP,broken clouds
333,mareeba,-17.0,145.4333,75.43,92,46,2.42,AU,scattered clouds
334,taoudenni,22.6783,-3.9836,69.08,17,48,4.47,ML,scattered clouds
335,tambura,5.6,27.4667,99.23,11,8,8.72,SS,clear sky
336,orje,59.4802,11.6602,32.14,81,100,2.55,NO,overcast clouds
337,ossora,59.2353,163.0719,15.1,95,99,6.33,RU,overcast clouds
338,penzance,50.1186,-5.5371,44.76,73,75,4.68,GB,broken clouds
339,porto torres,40.835,8.3972,46.58,72,89,16.49,IT,overcast clouds
340,chardara,41.2547,67.9692,23.36,88,4,5.5,KZ,clear sky
341,del rio,29.3627,-100.8968,53.71,88,100,10.36,US,overcast clouds
342,alta floresta,-9.8756,-56.0861,70.54,99,100,4.23,BR,overcast clouds
343,szczecinek,53.7079,16.6994,30.99,71,70,4.23,PL,broken clouds
344,rexburg,43.826,-111.7897,26.11,91,100,0.0,US,mist
345,atbasar,51.8,68.3333,9.7,88,100,12.55,KZ,overcast clouds
346,wuwei,37.9281,102.6414,22.48,38,99,4.54,CN,overcast clouds
347,vao,-22.6667,167.4833,75.54,77,100,10.69,NC,overcast clouds
348,taunggyi,20.7833,97.0333,56.53,53,0,1.88,MM,clear sky
349,teeli,51.0333,90.2333,-4.9,85,68,2.39,RU,broken clouds
350,dzaoudzi,-12.7887,45.2699,85.89,74,0,14.97,YT,clear sky
351,aljezur,37.3191,-8.8033,54.39,42,0,9.75,PT,clear sky
352,buraydah,26.326,43.975,66.65,40,0,6.69,SA,clear sky
353,ondjiva,-17.0667,15.7333,84.45,43,74,1.52,AO,broken clouds
354,husavik,66.0449,-17.3389,36.28,89,100,15.86,IS,overcast clouds
355,taksimo,56.3444,114.8794,-2.52,95,100,2.39,RU,overcast clouds
356,gorodovikovsk,46.0878,41.9335,38.64,73,100,15.57,RU,overcast clouds
357,marystown,47.1666,-55.1483,29.3,54,16,4.5,CA,few clouds
